user_id,registration_date,age,gender,location_city,location_province,income_range,total_purchases,total_spent,avg_order_value,last_active,customer_segment
user_00092,2026-01-22,40,F,Makassar,Sulawesi Selatan,<25k,32,10924.62,341.39,2026-04-04 09:51:30,VIP
user_00093,2024-12-30,49,M,Palembang,Sumatera Selatan,50-100k,40,18048.35,451.21,2026-03-21 09:51:30,VIP
user_00094,2025-09-30,45,M,Depok,Jawa Barat,50-100k,39,16133.9,413.69,2026-03-18 09:51:30,VIP
user_00095,2024-10-26,47,F,Bekasi,Jawa Barat,50-100k,20,8665.42,433.27,2026-03-09 09:51:30,VIP
user_00096,2025-12-07,35,F,Medan,Sumatera Utara,100-200k,36,11687.37,324.65,2026-03-23 09:51:30,VIP
user_00097,2025-03-26,19,F,Makassar,Sulawesi Selatan,25-50k,31,4509.07,145.45,2026-03-10 09:51:30,VIP
user_00098,2025-06-14,39,F,Bekasi,Jawa Barat,50-100k,35,1909.88,54.57,2026-03-05 09:51:30,VIP
user_00099,2025-08-22,23,M,Palembang,Sumatera Selatan,100-200k,35,13691.09,391.17,2026-03-13 09:51:30,VIP
user_00100,2024-11-03,59,F,Tangerang,Banten,<25k,5,912.03,182.41,2026-03-23 09:51:30,Premium
user_00101,2025-06-29,37,F,Tangerang,Banten,>200k,33,6754.8,204.69,2026-03-12 09:51:30,VIP
user_00102,2024-08-19,39,F,Tangerang,Banten,50-100k,19,3099.5,163.13,2026-04-01 09:51:30,Regular
user_00103,2025-08-20,38,M,Depok,Jawa Barat,25-50k,12,1768.48,147.37,2026-03-20 09:51:30,Regular
user_00104,2025-05-26,64,F,Surabaya,Jawa Timur,25-50k,18,2742.61,152.37,2026-03-30 09:51:30,Regular
user_00105,2025-04-30,18,M,Semarang,Jawa Tengah,<25k,3,897.03,299.01,2026-03-13 09:51:30,New
user_00106,2025-10-27,58,F,Surabaya,Jawa Timur,<25k,36,6406.3,177.95,2026-03-20 09:51:30,VIP
user_00107,2024-12-09,39,M,Jakarta,DKI Jakarta,50-100k,30,3040.18,101.34,2026-04-02 09:51:30,VIP
user_00108,2025-01-19,49,M,Bekasi,Jawa Barat,<25k,9,1054.25,117.14,2026-03-17 09:51:30,Premium
user_00109,2025-04-28,23,M,Surabaya,Jawa Timur,>200k,48,11389.36,237.28,2026-03-16 09:51:30,VIP
user_00110,2024-06-10,32,F,Tangerang,Banten,100-200k,19,8304.42,437.07,2026-03-22 09:51:30,Regular
user_00111,2025-04-27,54,M,Bekasi,Jawa Barat,<25k,48,6888.22,143.5,2026-03-29 09:51:30,VIP
user_00112,2025-06-08,60,M,Bandung,Jawa Barat,25-50k,11,3282.36,298.4,2026-03-30 09:51:30,Regular
user_00113,2026-03-03,44,F,Bekasi,Jawa Barat,100-200k,18,1164.38,64.69,2026-03-26 09:51:30,Regular
user_00114,2025-05-20,62,F,Surabaya,Jawa Timur,25-50k,16,6472.36,404.52,2026-03-15 09:51:30,Regular
user_00115,2024-07-10,60,M,Palembang,Sumatera Selatan,<25k,34,5139.58,151.16,2026-03-31 09:51:30,VIP
user_00116,2025-06-06,27,M,Jakarta,DKI Jakarta,25-50k,50,9421.27,188.43,2026-03-12 09:51:30,VIP
user_00117,2024-07-31,36,F,Surabaya,Jawa Timur,100-200k,44,8221.01,186.84,2026-03-23 09:51:30,VIP
user_00118,2025-05-31,50,F,Tangerang,Banten,<25k,38,2581.62,67.94,2026-03-22 09:51:30,VIP
user_00119,2025-04-09,56,F,Jakarta,DKI Jakarta,<25k,14,6760.04,482.86,2026-03-09 09:51:30,Regular
user_00120,2024-07-24,55,M,Semarang,Jawa Tengah,>200k,2,786.8,393.4,2026-03-30 09:51:30,New
user_00121,2024-11-09,51,F,Semarang,Jawa Tengah,25-50k,37,9107.49,246.15,2026-03-09 09:51:30,VIP
user_00122,2024-10-18,23,F,Makassar,Sulawesi Selatan,100-200k,21,4084.0,194.48,2026-04-01 09:51:30,VIP
user_00123,2025-09-22,39,F,Tangerang,Banten,50-100k,42,19964.16,475.34,2026-03-09 09:51:30,VIP
user_00124,2024-08-19,20,F,Surabaya,Jawa Timur,50-100k,16,3127.57,195.47,2026-03-11 09:51:30,Regular
user_00125,2025-01-16,50,M,Depok,Jawa Barat,100-200k,26,1934.19,74.39,2026-03-19 09:51:30,VIP
user_00126,2025-02-28,57,F,Tangerang,Banten,<25k,13,2212.28,170.18,2026-03-31 09:51:30,Regular
user_00127,2025-05-15,46,F,Surabaya,Jawa Timur,<25k,40,12959.69,323.99,2026-03-28 09:51:30,VIP
user_00128,2025-09-24,37,M,Depok,Jawa Barat,100-200k,5,755.58,151.12,2026-03-09 09:51:30,Premium
user_00129,2025-11-09,47,M,Bandung,Jawa Barat,100-200k,45,8160.2,181.34,2026-03-13 09:51:30,VIP
user_00130,2025-05-30,44,F,Tangerang,Banten,25-50k,29,8644.01,298.07,2026-03-23 09:51:30,VIP
user_00131,2025-08-22,56,M,Surabaya,Jawa Timur,50-100k,49,19869.64,405.5,2026-03-22 09:51:30,VIP
user_00132,2025-03-22,50,F,Jakarta,DKI Jakarta,50-100k,46,8480.11,184.35,2026-03-17 09:51:30,VIP
user_00133,2024-07-20,60,F,Bandung,Jawa Barat,100-200k,34,9110.42,267.95,2026-03-25 09:51:30,VIP
user_00134,2024-08-17,52,F,Tangerang,Banten,50-100k,12,5896.18,491.35,2026-03-28 09:51:30,Regular
user_00135,2024-07-28,42,M,Palembang,Sumatera Selatan,<25k,20,7702.35,385.12,2026-03-13 09:51:30,VIP
user_00136,2025-02-08,42,M,Tangerang,Banten,<25k,8,2208.25,276.03,2026-03-17 09:51:30,Premium
user_00137,2025-03-31,24,F,Surabaya,Jawa Timur,>200k,29,1650.29,56.91,2026-03-31 09:51:30,VIP
user_00138,2025-01-10,59,M,Surabaya,Jawa Timur,100-200k,50,24307.08,486.14,2026-03-25 09:51:30,VIP
user_00139,2024-06-05,62,F,Surabaya,Jawa Timur,50-100k,43,18778.27,436.7,2026-03-23 09:51:30,VIP
user_00140,2025-04-15,58,F,Depok,Jawa Barat,<25k,39,3150.78,80.79,2026-03-15 09:51:30,VIP
user_00141,2024-04-04,36,M,Surabaya,Jawa Timur,100-200k,6,2353.0,392.17,2026-03-13 09:51:30,Premium
user_00142,2025-11-23,46,M,Semarang,Jawa Tengah,<25k,2,391.94,195.97,2026-04-03 09:51:30,New
user_00143,2025-05-09,40,F,Palembang,Sumatera Selatan,25-50k,15,4335.37,289.02,2026-03-17 09:51:30,Regular
user_00144,2024-04-06,29,M,Bandung,Jawa Barat,<25k,39,17233.23,441.88,2026-03-16 09:51:30,VIP
user_00145,2024-04-05,33,F,Bekasi,Jawa Barat,25-50k,14,3605.24,257.52,2026-03-27 09:51:30,Regular
user_00146,2024-11-20,34,M,Tangerang,Banten,50-100k,43,12726.67,295.97,2026-04-02 09:51:30,VIP
user_00147,2024-12-08,40,F,Palembang,Sumatera Selatan,50-100k,29,12481.22,430.39,2026-03-29 09:51:30,VIP
user_00148,2025-02-05,48,M,Medan,Sumatera Utara,100-200k,36,7615.14,211.53,2026-03-26 09:51:30,VIP
user_00149,2025-05-07,19,F,Semarang,Jawa Tengah,<25k,36,15814.09,439.28,2026-03-11 09:51:30,VIP
user_00150,2026-01-14,56,F,Semarang,Jawa Tengah,25-50k,38,15613.04,410.87,2026-03-28 09:51:30,VIP
user_00151,2024-05-23,30,F,Bandung,Jawa Barat,<25k,40,13634.13,340.85,2026-03-26 09:51:30,VIP
user_00152,2024-12-09,20,F,Bandung,Jawa Barat,<25k,18,3546.42,197.02,2026-03-22 09:51:30,Regular
user_00153,2025-09-07,30,M,Depok,Jawa Barat,50-100k,33,9101.65,275.81,2026-03-27 09:51:30,VIP
user_00154,2025-09-18,34,F,Semarang,Jawa Tengah,50-100k,7,1825.24,260.75,2026-04-02 09:51:30,Premium
user_00155,2025-10-12,32,F,Depok,Jawa Barat,50-100k,5,2029.03,405.81,2026-04-04 09:51:30,Premium
user_00156,2025-06-08,52,M,Tangerang,Banten,50-100k,43,16643.37,387.06,2026-03-27 09:51:30,VIP
user_00157,2024-07-15,42,F,Surabaya,Jawa Timur,25-50k,30,1837.83,61.26,2026-03-07 09:51:30,VIP
user_00158,2024-08-08,38,M,Surabaya,Jawa Timur,100-200k,44,8183.37,185.99,2026-03-22 09:51:30,VIP
user_00159,2025-11-06,26,M,Jakarta,DKI Jakarta,50-100k,31,3169.88,102.25,2026-03-28 09:51:30,VIP
user_00160,2024-09-01,26,F,Tangerang,Banten,50-100k,42,20043.3,477.22,2026-03-13 09:51:30,VIP
user_00161,2024-08-29,44,M,Palembang,Sumatera Selatan,<25k,31,10138.35,327.04,2026-03-05 09:51:30,VIP
user_00162,2025-05-23,20,F,Medan,Sumatera Utara,100-200k,28,13377.0,477.75,2026-03-08 09:51:30,VIP
user_00163,2025-02-27,24,F,Depok,Jawa Barat,50-100k,3,687.49,229.16,2026-03-29 09:51:30,New
user_00164,2025-10-31,47,M,Medan,Sumatera Utara,>200k,1,72.76,72.76,2026-03-25 09:51:30,New
user_00165,2025-06-29,26,M,Surabaya,Jawa Timur,>200k,13,4080.34,313.87,2026-03-09 09:51:30,Regular
user_00166,2025-07-10,39,M,Bekasi,Jawa Barat,<25k,17,7416.81,436.28,2026-03-31 09:51:30,Regular
user_00167,2025-10-23,52,F,Bandung,Jawa Barat,<25k,42,18475.87,439.9,2026-03-31 09:51:30,VIP
user_00168,2026-02-18,40,M,Bekasi,Jawa Barat,50-100k,1,128.41,128.41,2026-04-03 09:51:30,New
user_00169,2025-10-27,65,F,Depok,Jawa Barat,<25k,47,3694.25,78.6,2026-03-21 09:51:30,VIP
user_00170,2025-02-28,50,M,Tangerang,Banten,>200k,14,6656.12,475.44,2026-04-03 09:51:30,Regular
user_00171,2024-04-30,51,F,Tangerang,Banten,<25k,3,1498.09,499.36,2026-03-08 09:51:30,New
user_00172,2025-01-18,45,M,Tangerang,Banten,100-200k,4,1818.68,454.67,2026-03-25 09:51:30,New
user_00173,2024-06-21,27,M,Bandung,Jawa Barat,50-100k,39,13060.5,334.88,2026-03-18 09:51:30,VIP
user_00174,2025-04-07,42,F,Tangerang,Banten,>200k,38,9256.41,243.59,2026-03-10 09:51:30,VIP
user_00175,2025-11-08,59,M,Palembang,Sumatera Selatan,100-200k,14,3307.03,236.22,2026-03-09 09:51:30,Regular
user_00176,2024-11-26,43,F,Surabaya,Jawa Timur,50-100k,27,5147.16,190.64,2026-03-27 09:51:30,VIP
user_00177,2025-02-15,27,F,Surabaya,Jawa Timur,<25k,5,459.77,91.95,2026-04-01 09:51:30,Premium
user_00178,2025-02-17,26,M,Bekasi,Jawa Barat,>200k,35,6941.92,198.34,2026-04-01 09:51:30,VIP
user_00179,2025-01-09,40,F,Jakarta,DKI Jakarta,50-100k,38,7242.88,190.6,2026-04-01 09:51:30,VIP
user_00180,2024-07-22,50,M,Bandung,Jawa Barat,100-200k,14,6037.83,431.27,2026-03-24 09:51:30,Regular
user_00181,2024-08-13,41,M,Semarang,Jawa Tengah,>200k,14,5785.49,413.25,2026-03-08 09:51:30,Regular
user_00182,2024-08-08,57,M,Bekasi,Jawa Barat,50-100k,1,131.19,131.19,2026-03-13 09:51:30,New
user_00183,2025-04-23,39,F,Jakarta,DKI Jakarta,25-50k,9,2743.6,304.84,2026-03-23 09:51:30,Premium
user_00184,2025-12-24,27,M,Surabaya,Jawa Timur,>200k,13,2850.74,219.29,2026-03-21 09:51:30,Regular
user_00185,2025-03-21,28,F,Semarang,Jawa Tengah,50-100k,49,23208.03,473.63,2026-03-16 09:51:30,VIP
user_00186,2025-12-09,21,M,Bandung,Jawa Barat,>200k,3,1059.86,353.29,2026-03-27 09:51:30,New
user_00187,2024-12-07,60,F,Tangerang,Banten,>200k,28,6618.72,236.38,2026-03-29 09:51:30,VIP
user_00188,2024-09-27,25,F,Palembang,Sumatera Selatan,<25k,18,6393.56,355.2,2026-03-17 09:51:30,Regular
user_00189,2024-10-23,51,F,Jakarta,DKI Jakarta,25-50k,25,12325.01,493.0,2026-04-03 09:51:30,VIP
user_00190,2026-02-26,31,F,Medan,Sumatera Utara,25-50k,48,7919.22,164.98,2026-03-25 09:51:30,VIP
user_00191,2025-11-03,18,F,Palembang,Sumatera Selatan,25-50k,8,1768.75,221.09,2026-03-13 09:51:30,Premium
user_00192,2025-07-13,50,F,Surabaya,Jawa Timur,100-200k,47,3244.69,69.04,2026-04-04 09:51:30,VIP
user_00193,2024-11-20,22,F,Bekasi,Jawa Barat,100-200k,36,8351.65,231.99,2026-03-15 09:51:30,VIP
user_00194,2025-01-02,36,M,Palembang,Sumatera Selatan,<25k,20,2546.86,127.34,2026-03-05 09:51:30,VIP
user_00195,2024-06-11,47,F,Surabaya,Jawa Timur,100-200k,6,956.95,159.49,2026-03-17 09:51:30,Premium
user_00196,2025-01-19,51,M,Palembang,Sumatera Selatan,50-100k,47,9530.71,202.78,2026-03-25 09:51:30,VIP
user_00197,2025-09-14,22,M,Depok,Jawa Barat,>200k,12,5491.98,457.67,2026-03-24 09:51:30,Regular
user_00198,2025-03-11,64,M,Medan,Sumatera Utara,<25k,9,1486.67,165.19,2026-03-30 09:51:30,Premium
user_00199,2024-06-27,27,M,Bandung,Jawa Barat,100-200k,29,11295.52,389.5,2026-03-11 09:51:30,VIP
user_00200,2024-07-20,46,F,Makassar,Sulawesi Selatan,25-50k,28,2260.41,80.73,2026-03-21 09:51:30,VIP
user_00201,2024-05-28,37,F,Bekasi,Jawa Barat,<25k,22,6122.64,278.3,2026-03-26 09:51:30,VIP
user_00202,2024-11-18,46,M,Jakarta,DKI Jakarta,50-100k,18,1521.52,84.53,2026-03-08 09:51:30,Regular
user_00203,2025-12-03,57,F,Tangerang,Banten,>200k,35,16779.15,479.4,2026-03-12 09:51:30,VIP
user_00204,2026-01-22,46,M,Makassar,Sulawesi Selatan,>200k,30,8268.46,275.62,2026-03-05 09:51:30,VIP
user_00205,2026-01-01,46,M,Makassar,Sulawesi Selatan,<25k,32,10904.23,340.76,2026-04-03 09:51:30,VIP
user_00206,2025-06-25,63,F,Tangerang,Banten,>200k,33,10705.61,324.41,2026-03-24 09:51:30,VIP
user_00207,2025-02-17,36,F,Palembang,Sumatera Selatan,50-100k,43,13719.09,319.05,2026-03-10 09:51:30,VIP
user_00208,2024-05-28,59,F,Surabaya,Jawa Timur,50-100k,6,1806.5,301.08,2026-03-23 09:51:30,Premium
user_00209,2025-05-19,34,M,Makassar,Sulawesi Selatan,<25k,37,12899.14,348.63,2026-03-06 09:51:30,VIP
user_00210,2025-03-12,37,F,Bandung,Jawa Barat,>200k,45,21244.54,472.1,2026-03-26 09:51:30,VIP
user_00211,2024-08-10,42,F,Bandung,Jawa Barat,>200k,5,1703.56,340.71,2026-03-22 09:51:30,Premium
user_00212,2024-10-01,41,M,Makassar,Sulawesi Selatan,50-100k,11,5258.29,478.03,2026-03-25 09:51:30,Regular
user_00213,2024-10-24,30,M,Bandung,Jawa Barat,25-50k,4,732.43,183.11,2026-03-10 09:51:30,New
user_00214,2025-11-22,50,M,Makassar,Sulawesi Selatan,>200k,8,2550.09,318.76,2026-03-31 09:51:30,Premium
user_00215,2025-09-20,29,M,Tangerang,Banten,<25k,26,5562.3,213.93,2026-03-12 09:51:30,VIP
user_00216,2025-07-05,46,F,Tangerang,Banten,25-50k,34,5359.28,157.63,2026-03-05 09:51:30,VIP
user_00217,2024-11-10,30,F,Bekasi,Jawa Barat,100-200k,29,11491.17,396.25,2026-03-11 09:51:30,VIP
user_00218,2025-02-07,50,F,Bandung,Jawa Barat,25-50k,38,4266.61,112.28,2026-03-27 09:51:30,VIP
user_00219,2026-01-11,59,F,Makassar,Sulawesi Selatan,>200k,6,2220.78,370.13,2026-03-19 09:51:30,Premium
user_00220,2025-10-29,36,M,Bandung,Jawa Barat,50-100k,28,12806.86,457.39,2026-03-31 09:51:30,VIP
user_00221,2024-12-13,23,M,Tangerang,Banten,50-100k,1,236.7,236.7,2026-03-23 09:51:30,New
user_00222,2024-10-07,41,M,Palembang,Sumatera Selatan,<25k,23,3473.98,151.04,2026-03-25 09:51:30,VIP
user_00223,2025-11-24,63,F,Bandung,Jawa Barat,25-50k,2,358.19,179.1,2026-03-09 09:51:30,New
user_00224,2024-11-07,62,M,Tangerang,Banten,100-200k,39,2042.16,52.36,2026-04-02 09:51:30,VIP
user_00225,2026-02-14,34,M,Bandung,Jawa Barat,>200k,46,14903.82,324.0,2026-03-22 09:51:30,VIP
